"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"add patient",360338,"20",1300,"0.00720676",9.368788,1
"add patient",360290,"20",1300,"0.0072058",9.36754,0
"add patient",360338,"20",1300,"0.00720676",9.368788,1
"add patient",360422,"20",1300,"0.00720844",9.370972,0
"add patient",360302,"20",1300,"0.00720604",9.367852000000001,1
"add patient",360326,"20",1300,"0.00720652",9.368476,0
"add patient",360314,"20",1300,"0.00720628",9.368164,1
"add patient",360302,"20",1300,"0.00720604",9.367852000000001,0
"add patient",360290,"20",1300,"0.0072058",9.36754,1
"add patient",360362,"20",1300,"0.00720724",9.369412,0
"add doctor",232746,"20",1300,"0.00465492",6.0513959999999996,-4
"add doctor",232806,"20",1300,"0.00465612",6.052956,0
"add doctor",232722,"20",1300,"0.00465444",6.050772,1
"add doctor",232782,"20",1300,"0.00465564",6.052332,0
"add doctor",232818,"20",1300,"0.00465636",6.053268,1
"add doctor",232794,"20",1300,"0.00465588",6.052644,0
"add doctor",232782,"20",1300,"0.00465564",6.052332,1
"add doctor",232758,"20",1300,"0.00465516",6.0517080000000005,0
"add doctor",232758,"20",1300,"0.00465516",6.0517080000000005,1
"add doctor",232806,"20",1300,"0.00465612",6.052956,0
