"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"request access",58273,"20",1300,"0.00116546",1.515098,4
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",64625,"20",1300,"0.0012925",1.68025,1
"request access",61987,"20",1300,"0.00123974",1.611662,0
"request access",59349,"20",1300,"0.00118698",1.543074,0
"request access",56711,"20",1300,"0.00113422",1.474486,0
"request access",39073,"20",1300,"0.00078146",1.015898,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",64625,"20",1300,"0.0012925",1.68025,0
"request access",61987,"20",1300,"0.00123974",1.611662,1
"request access",59349,"20",1300,"0.00118698",1.543074,0
"request access",56711,"20",1300,"0.00113422",1.474486,0
"request access",39073,"20",1300,"0.00078146",1.015898,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,1
"request access",61987,"20",1300,"0.00123974",1.611662,0
"request access",59349,"20",1300,"0.00118698",1.543074,0
"request access",56711,"20",1300,"0.00113422",1.474486,0
"request access",39073,"20",1300,"0.00078146",1.015898,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",59349,"20",1300,"0.00118698",1.543074,0
"request access",56711,"20",1300,"0.00113422",1.474486,1
"request access",39073,"20",1300,"0.00078146",1.015898,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",68825,"20",1300,"0.0013765",1.7894499999999998,0
"request access",64625,"20",1300,"0.0012925",1.68025,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,1
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",64625,"20",1300,"0.0012925",1.68025,1
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",64625,"20",1300,"0.0012925",1.68025,0
"request access",60911,"20",1300,"0.00121822",1.583686,1
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
"request access",60911,"20",1300,"0.00121822",1.583686,0
"request access",63549,"20",1300,"0.00127098",1.6522739999999998,0
"request access",66187,"20",1300,"0.00132374",1.720862,0
"request access",64625,"20",1300,"0.0012925",1.68025,0
"request access",61987,"20",1300,"0.00123974",1.611662,0
"request access",59349,"20",1300,"0.00118698",1.543074,0
"request access",58273,"20",1300,"0.00116546",1.515098,0
