"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"prescribe",537497,"20",1300,"0.01074994",13.974922,0
"prescribe",481733,"20",1300,"0.00963466",12.525058,3
"prescribe",564213,"20",1300,"0.01128426",14.669538000000001,2
"prescribe",549213,"20",1300,"0.01098426",14.279537999999999,1
"prescribe",630635,"20",1300,"0.0126127",16.39651,2
"prescribe",549273,"20",1300,"0.01098546",14.281098,1
"prescribe",481889,"20",1300,"0.00963778",12.529114,2
"prescribe",534321,"20",1300,"0.01068642",13.892346,2
"prescribe",466877,"20",1300,"0.00933754",12.138802,3
"prescribe",615659,"20",1300,"0.01231318",16.007134,1
"prescribe",507497,"20",1300,"0.01014994",13.194922,2
"prescribe",534297,"20",1300,"0.01068594",13.891722,1
"prescribe",615419,"20",1300,"0.01230838",16.000894000000002,2
"prescribe",466781,"20",1300,"0.00933562",12.136306,1
"prescribe",466673,"20",1300,"0.00933346",12.133498,2
"prescribe",466721,"20",1300,"0.00933442",12.134746,3
"prescribe",507677,"20",1300,"0.01015354",13.199602,1
"prescribe",507617,"20",1300,"0.01015234",13.198042,2
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",534309,"20",1300,"0.01068618",13.892034,3
"prescribe",534333,"20",1300,"0.01068666",13.892658,2
"prescribe",534201,"20",1300,"0.01068402",13.889226,3
"prescribe",466721,"20",1300,"0.00933442",12.134746,1
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,1
"prescribe",534429,"20",1300,"0.01068858",13.895154,2
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",534549,"20",1300,"0.01069098",13.898273999999999,2
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",615491,"20",1300,"0.01230982",16.002766,3
"prescribe",466865,"20",1300,"0.0093373",12.13849,1
"prescribe",615623,"20",1300,"0.01231246",16.006198,2
"prescribe",466805,"20",1300,"0.0093361",12.13693,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,3
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,1
"prescribe",466733,"20",1300,"0.00933466",12.135057999999999,3
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",534369,"20",1300,"0.01068738",13.893594,2
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,1
"prescribe",615347,"20",1300,"0.01230694",15.999022,1
"prescribe",534141,"20",1300,"0.01068282",13.887666000000001,1
"prescribe",534177,"20",1300,"0.01068354",13.888602,2
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,2
"prescribe",534357,"20",1300,"0.01068714",13.893282,2
"prescribe",615719,"20",1300,"0.01231438",16.008694,1
"prescribe",615623,"20",1300,"0.01231246",16.006198,1
"prescribe",534225,"20",1300,"0.0106845",13.88985,2
"prescribe",534261,"20",1300,"0.01068522",13.890786,1
"prescribe",466781,"20",1300,"0.00933562",12.136306,1
"prescribe",615443,"20",1300,"0.01230886",16.001518,3
"prescribe",615515,"20",1300,"0.0123103",16.00339,1
"prescribe",615563,"20",1300,"0.01231126",16.004638,1
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",466601,"20",1300,"0.00933202",12.131626,2
"prescribe",466613,"20",1300,"0.00933226",12.131938,1
"prescribe",534273,"20",1300,"0.01068546",13.891098000000001,1
"prescribe",466685,"20",1300,"0.0093337",12.13381,2
"prescribe",534129,"20",1300,"0.01068258",13.887354,2
"prescribe",615527,"20",1300,"0.01231054",16.003702,1
"prescribe",466817,"20",1300,"0.00933634",12.137242,1
"prescribe",615647,"20",1300,"0.01231294",16.006822,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,2
"prescribe",534393,"20",1300,"0.01068786",13.894218,2
"prescribe",615635,"20",1300,"0.0123127",16.00651,1
"prescribe",466817,"20",1300,"0.00933634",12.137242,1
"prescribe",466961,"20",1300,"0.00933922",12.140986,1
"prescribe",466673,"20",1300,"0.00933346",12.133498,2
"prescribe",466685,"20",1300,"0.0093337",12.13381,1
"prescribe",466793,"20",1300,"0.00933586",12.136618,1
"prescribe",575110,"20",1300,"0.0115022",14.952860000000001,2
"prescribe",615515,"20",1300,"0.0123103",16.00339,1
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,2
"prescribe",534273,"20",1300,"0.01068546",13.891098000000001,1
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,1
"prescribe",615419,"20",1300,"0.01230838",16.000894000000002,2
"prescribe",615563,"20",1300,"0.01231126",16.004638,1
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,1
"prescribe",534417,"20",1300,"0.01068834",13.894841999999999,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,1
"prescribe",534177,"20",1300,"0.01068354",13.888602,1
"prescribe",466625,"20",1300,"0.0093325",12.13225,1
"prescribe",615347,"20",1300,"0.01230694",15.999022,2
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",615467,"20",1300,"0.01230934",16.002142,1
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,1
"prescribe",575062,"20",1300,"0.01150124",14.951611999999999,1
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,2
"prescribe",466877,"20",1300,"0.00933754",12.138802,1
"prescribe",534417,"20",1300,"0.01068834",13.894841999999999,3
"prescribe",534381,"20",1300,"0.01068762",13.893906,0
"prescribe",534261,"20",1300,"0.01068522",13.890786,1
"prescribe",615683,"20",1300,"0.01231366",16.007758,0
"prescribe",534489,"20",1300,"0.01068978",13.896714,1
"prescribe",615515,"20",1300,"0.0123103",16.00339,1
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,2
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,1
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,1
"prescribe",534321,"20",1300,"0.01068642",13.892346,1
"prescribe",615491,"20",1300,"0.01230982",16.002766,1
"prescribe",534333,"20",1300,"0.01068666",13.892658,1
"prescribe",534309,"20",1300,"0.01068618",13.892034,1
"prescribe",466817,"20",1300,"0.00933634",12.137242,2
"prescribe",615347,"20",1300,"0.01230694",15.999022,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",466661,"20",1300,"0.00933322",12.133186,0
"prescribe",534237,"20",1300,"0.01068474",13.890162,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,1
"prescribe",615731,"20",1300,"0.01231462",16.009006,2
"prescribe",534393,"20",1300,"0.01068786",13.894218,1
"prescribe",615587,"20",1300,"0.01231174",16.005262,1
"prescribe",534357,"20",1300,"0.01068714",13.893282,1
