"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"request access",98926,"20",1300,"0.00197852",2.572076,0
"request access",98926,"20",1300,"0.00197852",2.572076,0
"request access",98914,"20",1300,"0.00197828",2.571764,1
"request access",98926,"20",1300,"0.00197852",2.572076,0
"request access",98926,"20",1300,"0.00197852",2.572076,0
"request access",98926,"20",1300,"0.00197852",2.572076,1
"request access",98914,"20",1300,"0.00197828",2.571764,0
"request access",81826,"20",1300,"0.00163652",2.127476,0
"request access",81814,"20",1300,"0.00163628",2.127164,0
"request access",81826,"20",1300,"0.00163652",2.127476,1
"request access",81826,"20",1300,"0.00163652",2.127476,0
"request access",81826,"20",1300,"0.00163652",2.127476,0
"request access",81814,"20",1300,"0.00163628",2.127164,1
